BHK,Property-Price,Property_Type,City1,Property-On-Floor,Property-Facing,Age-Of-Property,Super-Built-up-Construction-Area,Carpet-Construction-Area,Bathroom,Furniture-Details,Current-Status,Location,No-Of-Lift-Per-Block,Parking-Details
3.0,47.0,Commercial,Ahmedabad,1.0,West,10.0,638.0,420.0,0.0,Semi-Furnished,Empty,A-SG Highway,3.0,Common Parking
3.0,42.0,Commercial,Ahmedabad,1.0,East,1.0,320.0,208.0,1.0,Unfurnished,Empty,A-Ranip,2.0,Common-Basement
3.0,62.0,Commercial,Ahmedabad,1.0,East,1.0,648.0,337.0,1.0,Unfurnished,Empty,A-Naroda,2.0,Common Parking
3.0,180.0,Residential,Ahmedabad,0.0,East,14.0,1215.0,1980.0,4.0,Semi-Furnished,Self-Occupied,A-Nikol,1.0,Reserved-Parking
3.0,24.0,Commercial,Ahmedabad,1.0,East,4.0,690.0,390.0,1.0,Unfurnished,Empty,A-Gota,2.0,Reserved-Basement
3.0,92.5,Commercial,Ahmedabad,1.0,East,2.0,1215.0,874.5,1.0,Unfurnished,Empty,A-South Bopal,0.0,Basement-Parking
3.0,54.0,Commercial,Ahmedabad,1.0,East,0.0,416.0,874.5,1.0,Unfurnished,Self-Occupied,A-Gota,2.0,Common Parking
3.0,60.0,Commercial,Ahmedabad,1.0,North,12.0,560.0,400.0,1.0,Unfurnished,Self-Occupied,A-Chandkheda,2.0,Common Parking
2.0,60.0,Residential,Ahmedabad,4.0,South-East,26.0,1215.0,909.0,2.0,Semi-Furnished,Tenant-Occupied,A-Maninagar,1.0,Common Parking
3.0,125.0,Residential,Ahmedabad,0.0,West,45.0,1143.0,874.5,3.0,Semi-Furnished,Tenant-Occupied,A-Memnagar,2.0,Common Parking
4.0,135.0,Residential,Ahmedabad,0.0,West,30.0,2250.0,1908.0,3.0,Semi-Furnished,Self-Occupied,A-Isanpur,2.0,Common Parking
2.0,125.0,Residential,Ahmedabad,1.0,East,4.0,1800.0,1350.0,3.0,Semi-Furnished,Self-Occupied,A-Ghodasar,2.0,Reserved-Parking
3.0,114.99999999999999,Residential,Ahmedabad,0.0,East,15.0,1296.0,990.0,3.0,Semi-Furnished,Self-Occupied,A-Bopal,2.0,Reserved-Parking
2.0,150.0,Residential,Ahmedabad,0.0,East,50.0,1215.0,531.0,2.0,Semi-Furnished,Self-Occupied,A-Maninagar,2.0,Reserved-Parking
2.0,130.0,Residential,Ahmedabad,10.0,East,30.0,1710.0,1422.0,2.0,Unfurnished,Tenant-Occupied,A-Amraiwadi,2.0,Common Parking
3.0,35.0,Residential,Ahmedabad,0.0,West,20.0,1008.0,874.5,1.0,Semi-Furnished,Tenant-Occupied,A-raipur,2.0,Common Parking
3.0,70.0,Residential,Ahmedabad,3.0,East,25.0,1215.0,1098.0,2.0,Semi-Furnished,Empty,A-Maninagar,1.0,Reserved-Parking
2.0,70.0,Residential,Ahmedabad,1.0,South-East,8.0,1170.0,761.0,2.0,Semi-Furnished,Empty,A-Paldi,2.0,Common Parking
3.0,72.0,Residential,Ahmedabad,2.0,East,8.0,1215.0,874.5,2.0,Semi-Furnished,Self-Occupied,A-Ellisbridge,2.0,Common Parking
1.0,35.0,Residential,Ahmedabad,1.0,East,0.5,1215.0,378.0,1.0,Unfurnished,Tenant-Occupied,A-Navrangpura,2.0,Common Parking
3.0,55.0,Commercial,Ahmedabad,1.0,East,4.0,1014.0,659.0,1.0,Unfurnished,Empty,A-Ghatlodia,1.0,Reserved-Parking
3.0,184.0,Commercial,Ahmedabad,1.0,East,0.0,1422.0,874.5,1.0,Unfurnished,Self-Occupied,A-Gota,2.0,Common Parking
3.0,140.0,Residential,Ahmedabad,3.0,East,4.0,2079.0,1251.0,3.0,Full-Furnished,Self-Occupied,A-Gota,2.0,Reserved-Parking
3.0,45.0,Residential,Ahmedabad,11.0,East,5.0,1000.0,700.0,2.0,Unfurnished,Empty,A-Gota,2.0,Common Parking
3.0,50.0,Commercial,Ahmedabad,1.0,East,0.0,589.0,353.0,1.0,Unfurnished,Tenant-Occupied,A-Nikol,4.0,Common-Basement
3.0,32.0,Commercial,Ahmedabad,1.0,East,5.0,1215.0,360.0,1.0,Unfurnished,Tenant-Occupied,A-Nava Naroda,4.0,Common-Basement
3.0,50.0,Commercial,Ahmedabad,11.0,West,4.0,551.0,224.0,1.0,Unfurnished,Empty,A-Ashram Road,4.0,Reserved-Basement
3.0,35.0,Commercial,Ahmedabad,1.0,West,0.5,820.0,492.0,1.0,Unfurnished,Empty,A-Nava Naroda,2.0,Common-Basement
3.0,140.0,Commercial,Ahmedabad,11.0,North,8.0,1460.0,949.0,1.0,Full-Furnished,Self-Occupied,A-Bapunagar,2.0,Common-Basement
3.0,155.0,Residential,Ahmedabad,0.0,East,13.0,1215.0,1485.0,3.0,Semi-Furnished,Self-Occupied,A-Ghuma,2.0,Reserved-Parking
3.0,75.0,Residential,Ahmedabad,1.0,East,0.0,1737.0,972.0,3.0,Unfurnished,Empty,A-Gota,2.0,Reserved-Parking
3.0,53.0,Residential,Ahmedabad,0.0,East,40.0,1215.0,900.0,2.0,Semi-Furnished,Tenant-Occupied,A-Chandkheda,2.0,Common Parking
1.0,23.0,Residential,Surat,0.0,East,6.0,456.0,874.5,1.0,Unfurnished,Tenant-Occupied,S-Varachha,2.0,Common Parking
1.0,70.0,Residential,Ahmedabad,1.0,West,20.0,1665.0,900.0,1.0,Unfurnished,Self-Occupied,A-Isanpur,2.0,Reserved-Parking
3.0,129.0,Residential,Ahmedabad,1.0,East,35.0,1388.0,1180.0,3.0,Full-Furnished,Tenant-Occupied,A-Naranpura,2.0,Common Parking
3.0,95.0,Commercial,Gandhinagar,1.0,East,4.0,863.0,518.0,1.0,Unfurnished,Tenant-Occupied,G-Sargasan,2.0,Common Parking
3.0,70.0,Commercial,Gandhinagar,1.0,East,15.0,697.0,874.5,1.0,Unfurnished,Empty,G-Sargasan,2.0,Common Parking
3.0,297.0,Residential,Ahmedabad,0.0,East,8.0,1485.0,965.0,1.0,Unfurnished,Empty,A-Memnagar,2.0,Reserved-Parking
5.0,140.0,Residential,Gandhinagar,3.0,East,10.0,2547.0,1773.0,5.0,Unfurnished,Tenant-Occupied,G-Pethapur,2.0,Reserved-Parking
2.0,35.0,Residential,Ahmedabad,3.0,East,30.0,1215.0,810.0,1.0,Unfurnished,Empty,A-Sabarmati,2.0,Common Parking
5.0,280.0,Residential,Ahmedabad,0.0,East,50.0,1215.0,2025.0,5.0,Semi-Furnished,Empty,A-Navrangpura,2.0,Reserved-Parking
4.0,204.99999999999997,Residential,Ahmedabad,2.0,North,11.0,810.0,1944.0,4.0,Semi-Furnished,Self-Occupied,A-Chandlodia,2.0,Common Parking
5.0,250.0,Residential,Ahmedabad,0.0,East,40.0,3150.0,3150.0,6.0,Full-Furnished,Empty,A-Usmanpura,0.0,Reserved-Parking
4.0,140.0,Residential,Ahmedabad,4.0,East,20.0,2070.0,1656.0,4.0,Full-Furnished,Self-Occupied,A-Navrangpura,1.0,Common Parking
3.0,225.0,Residential,Ahmedabad,0.0,East,21.0,1215.0,1575.0,3.0,Full-Furnished,Tenant-Occupied,A-Vasna ,2.0,Common Parking
3.0,40.0,Commercial,Ahmedabad,2.0,West,40.0,1500.0,874.5,1.0,Unfurnished,Empty,A-Ashram Road,2.0,Common Parking
4.0,290.0,Residential,Ahmedabad,0.0,East,50.0,2475.0,874.5,4.0,Full-Furnished,Self-Occupied,A-Maninagar,2.0,Reserved-Parking
3.0,140.0,Commercial,Ahmedabad,0.0,East,15.0,1200.0,960.0,2.0,Unfurnished,Tenant-Occupied,A-New Ranip,2.0,Common Parking
3.0,240.0,Residential,Ahmedabad,1.0,East,17.0,1215.0,2025.0,3.0,Semi-Furnished,Self-Occupied,A-Motera,2.0,Reserved-Parking
4.0,210.0,Residential,Ahmedabad,0.0,East,6.0,1215.0,3150.0,4.0,Full-Furnished,Self-Occupied,A-Bopal,2.0,Common Parking
2.0,55.0,Residential,Ahmedabad,3.0,East,23.0,900.0,630.0,2.0,Full-Furnished,Self-Occupied,A-Naranpura,2.0,Common Parking
3.0,75.0,Residential,Ahmedabad,3.0,North-East,30.0,1350.0,1143.0,3.0,Full-Furnished,Self-Occupied,A-Ambawadi,2.0,Common Parking
3.0,65.0,Commercial,Ahmedabad,12.0,North,8.0,600.0,390.0,1.0,Full-Furnished,Self-Occupied,A-Ellisbridge,3.0,Reserved-Basement
3.0,135.0,Residential,Gandhinagar,2.0,East,8.0,1215.0,874.5,2.0,Semi-Furnished,Self-Occupied,A-Gota,2.0,Common Parking
