Tag,Property-Price,Location,BHK,Carpet-Construction-Area,Service_Expiry_Date
705-the-capital-2-science-city-aug24_505,29.0,A-Science City,3.0,526.0,2024-11-30
711-noble-trade-centre-bhuyangdev-aug24_509,140.0,A-Sola,3.0,1280.0,2025-02-24
77-sarvoday-nagar-part-3-ghatlodia-dec24_514,114.99999999999999,A-Ghatlodia,4.0,1575.0,2025-06-29
"770-5336-gujarat-housing-board-bapunagar-dec24,_515",30.0,A-Bapunagar,2.0,872.0,2025-02-05
8-ghanshyam-park-vasna-march25_519,35.0,A-Vasna,3.0,1404.0,2025-05-05
8-kaveri-soham-shilaj-nov24_522,27.0,A-Shilaj,3.0,357.0,2025-02-17
8-maple-bunglows-3-lambha-jan25_524,63.0,A-Lambha,3.0,1791.0,2025-07-22
8-parag-society-paldi-oct24_526,500.0,A-Paldi,4.0,872.0,2025-04-05
80-shreenathji-park-singarva-aug24_531,60.0,A-Vastral,1.0,872.0,2024-12-28
"803-akshat-complex-rent-sg-highway-jan24,_535",90.0,A-SG Highway,3.0,872.0,2025-05-06
86-navkar-greens-bagodara-jan25_541,8.0,A-Bavla,3.0,872.0,2025-03-13
"87-rameshwar-villa-palsana-nov24,_542",30.0,S-Palsana,2.0,872.0,2025-01-30
897-chandrabhaga-society-nava-vadaj-au24_545,60.0,A-Nava Vadaj,2.0,1404.0,2025-01-02
9-10-nand-kutir-complex-paldi-dec24_547,77.0,A-Paldi,3.0,650.0,2025-04-13
9-10-rosedale-vatika-1-atladra-march25_548,105.0,B-Atladara,3.0,1300.0,2025-08-05
9-aryavrat-2-satellite-feb25_549,1000.0,A-Satellite,5.0,4500.0,2025-08-10
"9-safalam-villa-kasinadra-sep24,_552",18.0,A-Kasindra,3.0,1026.0,2024-11-09
9-shree-hari-vila-bunglows-dehgam-aug24_557,40.0,G-Dahegam,3.0,872.0,2024-12-28
9-radhe-industrial-naroda-may25_559,225.0,A-Naroda,3.0,5517.0,2025-07-22
90-madhav-industrial-hub-bareja-april25_560,49.0,A-Odhav,3.0,872.0,2025-08-06
95-101-green-homes--sanand-nov24_565,65.0,A-Sanand,3.0,872.0,2025-05-28
a-310-kusal-awas-vatva-dec24`_575,15.0,A-Vatva,1.0,540.0,2025-04-01
a-1-704-shreemad-elegance-nikol-feb25_582,47.0,A-Nikol,2.0,1233.0,2025-06-10
a-1-chanchalba-apartment-maninagar-may25_585,38.0,A-Isanpur,3.0,756.0,2025-07-23
a-1-siddhi-bunglows-kasindra-dec24_588,90.0,A-Kasindra,3.0,872.0,2025-06-06
a-1-vama-apex-surat-sep24_590,85.0,S-Althan,3.0,1161.0,2025-03-07
a-1001-neelkanth-elegance-satellite-nov24_593,59.0,A-Satellite,2.0,900.0,2025-03-17
a-1004-dev-perestine-motera-feb25_597,200.0,A-Motera,3.0,2025.0,2025-06-06
a-102-kaveri-trisara-shilaj-dec24_605,65.0,A-Shilaj,2.0,872.0,2025-06-20
a-103-shreenathji-avenue-nana-chiloda-dec24_611,40.0,A-nana Childoa,2.0,756.0,2025-05-17
a-103-gokulbaug-flat-kudasan-jan25_612,80.0,G-Kudasan,3.0,1404.0,2025-07-12
a-103-himalaya-greens-naroda-feb25_613,40.0,A-Naroda,2.0,706.0,2025-04-23
a-103-shyam-residency-science-city-oct24_617,140.0,A-Science City,3.0,1440.0,2025-04-07
a-104-shalin-square-vinzol-march25_623,100.0,A-Vinzol,3.0,427.0,2025-07-12
a-11-poonam-parina-vasna-jun25_627,45.0,A-Vasna,2.0,891.0,2025-08-08
a-110-the-landmark-rent-kudasan-oct-24_628,1.25,G-Kudasan,3.0,1320.0,2025-03-05
