expired_tag,rejection_reasons
40-kedaram-villa-vatva-dec24_364,"Distance 8.18 km (A-Bapunagar to A-Vatva) > 6.0 km; Distance 18.04 km (A-Shilaj to A-Vatva) > 6.0 km; Price 101.0 outside [22.20, 51.80]; Distance 16.86 km (A-Gota to A-Vatva) > 6.0 km; Distance 22.56 km (A-Adalaj to A-Vatva) > 6.0 km; Price 101.0 outside [39.00, 91.00]; Distance 16.48 km (A-SG Highway to A-Vatva) > 6.0 km; Distance 12.00 km (A-Naroda to A-Vatva) > 6.0 km; Price 101.0 outside [240.00, 560.00]; Price 101.0 outside [246.00, 574.00]; Price 101.0 outside [28.50, 66.50]; Distance 9.60 km (A-Navrangpura to A-Vatva) > 6.0 km"
36-siddhi-vinayak-greens-kasindra-dec24_340,"Price 138.0 outside [28.50, 66.50]; Distance 21.65 km (A-Bapunagar to A-Kasindra) > 6.0 km; Distance 18.98 km (A-Amraiwadi to A-Kasindra) > 6.0 km; Price 138.0 outside [246.00, 574.00]; Distance 18.30 km (A-Shilaj to A-Kasindra) > 6.0 km; Distance 23.77 km (A-Gota to A-Kasindra) > 6.0 km; Price 138.0 outside [39.00, 91.00]; Distance 17.54 km (A-Navrangpura to A-Kasindra) > 6.0 km; Price 138.0 outside [240.00, 560.00]"
c-1-arihant-nagar-society-naroda-jun25_1181,"Price 225.0 outside [46.20, 107.80]; Price 225.0 outside [22.20, 51.80]; Distance 7.88 km (A-Amraiwadi to A-Naroda) > 6.0 km; Distance 13.20 km (A-Adalaj to A-Naroda) > 6.0 km; Price 225.0 outside [240.00, 560.00]; Price 225.0 outside [96.00, 224.00]; Distance 10.11 km (A-Navrangpura to A-Naroda) > 6.0 km; Distance 18.97 km (A-Shilaj to A-Naroda) > 6.0 km; Price 225.0 outside [84.00, 196.00]; Distance 12.95 km (A-SG Highway to A-Naroda) > 6.0 km; Price 225.0 outside [246.00, 574.00]; Price 225.0 outside [28.50, 66.50]; Price 225.0 outside [85.20, 198.80]; Price 225.0 outside [39.00, 91.00]; Distance 12.11 km (A-Gota to A-Naroda) > 6.0 km; Distance 19.84 km (A-Bopal to A-Naroda) > 6.0 km"
a-4-punit-society-shahpur-feb25_752,"Distance 6.51 km (A-Satellite to A-Shahpur) > 6.0 km; Price 350.0 outside [102.00, 238.00]; Price 350.0 outside [84.00, 196.00]; Price 350.0 outside [76.80, 179.20]; Distance 12.05 km (A-Bopal to A-Shahpur) > 6.0 km; Distance 6.33 km (A-Ghatlodia to A-Shahpur) > 6.0 km; Price 350.0 outside [22.20, 51.80]"
a-903-shrimay-opulance-shela.-nov24_861,"Distance 12.44 km (A-SG Highway to A-Shela) > 6.0 km; Distance 11.20 km (A-Navrangpura to A-Shela) > 6.0 km; Price 82.0 outside [84.00, 196.00]; Price 82.0 outside [28.50, 66.50]; Price 82.0 outside [22.20, 51.80]; Distance 18.09 km (A-Bapunagar to A-Shela) > 6.0 km; Distance 22.32 km (A-Adalaj to A-Shela) > 6.0 km; Price 82.0 outside [240.00, 560.00]; Price 82.0 outside [96.00, 224.00]; Distance 14.00 km (A-Gota to A-Shela) > 6.0 km; Distance 18.06 km (A-Amraiwadi to A-Shela) > 6.0 km; Distance 21.31 km (A-Naroda to A-Shela) > 6.0 km; Distance 6.24 km (A-Shilaj to A-Shela) > 6.0 km; Price 82.0 outside [85.20, 198.80]; Price 82.0 outside [246.00, 574.00]"
b-902-atlantis-north-gota-march25_1158,"Price 91.0 outside [28.50, 66.50]; Price 91.0 outside [96.00, 224.00]; Distance 8.94 km (A-Shilaj to A-Gota) > 6.0 km; Price 91.0 outside [246.00, 574.00]; Distance 14.88 km (A-Amraiwadi to A-Gota) > 6.0 km; Distance 8.36 km (A-Adalaj to A-Gota) > 6.0 km; Price 91.0 outside [240.00, 560.00]; Distance 7.50 km (A-Navrangpura to A-Gota) > 6.0 km; Distance 11.55 km (A-Bapunagar to A-Gota) > 6.0 km; Price 91.0 outside [22.20, 51.80]; Distance 12.11 km (A-Naroda to A-Gota) > 6.0 km"
bunglows-145-3a-radha-vallabh-colony-maninagar-oct24_1174,"Distance 15.40 km (A-Shilaj to A-Maninagar) > 6.0 km; Price 350.0 outside [84.00, 196.00]; Price 350.0 outside [85.20, 198.80]; Distance 6.36 km (A-Navrangpura to A-Maninagar) > 6.0 km"
b-9-kamdhenu-society-paldi-nov24_1152,"Price 204.99999999999997 outside [246.00, 574.00]; Distance 7.57 km (A-Bapunagar to A-Paldi) > 6.0 km; Distance 6.28 km (A-Nava Vadaj to A-Paldi) > 6.0 km; Price 204.99999999999997 outside [225.00, 525.00]; Price 204.99999999999997 outside [85.20, 198.80]; Distance 10.85 km (A-Shilaj to A-Paldi) > 6.0 km; Distance 10.51 km (A-Bopal to A-Paldi) > 6.0 km; Distance 11.76 km (A-Nikol to A-Paldi) > 6.0 km; Price 204.99999999999997 outside [22.20, 51.80]; Price 204.99999999999997 outside [240.00, 560.00]; Price 204.99999999999997 outside [207.00, 483.00]; Price 204.99999999999997 outside [84.00, 196.00]; Price 204.99999999999997 outside [76.80, 179.20]"
e-303-shayona-fairmont-nirnyanagar-march25_1453,"Price 57.0 outside [240.00, 560.00]; Distance 11.63 km (A-Amraiwadi to A-Nirnaynagar) > 6.0 km; Price 57.0 outside [246.00, 574.00]; Price 57.0 outside [22.20, 51.80]; Distance 8.58 km (A-Shilaj to A-Nirnaynagar) > 6.0 km; Price 57.0 outside [84.00, 196.00]; Distance 8.86 km (A-Bapunagar to A-Nirnaynagar) > 6.0 km; Distance 11.19 km (A-Adalaj to A-Nirnaynagar) > 6.0 km; Price 57.0 outside [85.20, 198.80]"
761-verai-pada-pole-khadia-oct24_512,"Distance 8.10 km (A-SG Highway to A-Shahpur) > 6.0 km; Distance 6.51 km (A-Satellite to A-Shahpur) > 6.0 km; Price 260.0 outside [85.20, 198.80]; Price 260.0 outside [22.20, 51.80]; Distance 11.70 km (A-Shilaj to A-Shahpur) > 6.0 km; Price 260.0 outside [76.80, 179.20]; Distance 9.23 km (A-Nikol to A-Shahpur) > 6.0 km; Price 260.0 outside [96.00, 224.00]; Distance 12.05 km (A-Bopal to A-Shahpur) > 6.0 km; Price 260.0 outside [84.00, 196.00]"
"1-hitendra-park-society-plot-paldi-aug24,_7","Distance 7.57 km (A-Bapunagar to A-Paldi) > 6.0 km; Price 290.0 outside [18.00, 42.00]; Distance 8.17 km (A-Chandlodia to A-Paldi) > 6.0 km; Price 290.0 outside [84.00, 196.00]; Price 290.0 outside [73.20, 170.80]; Distance 19.14 km (A-Sanand to A-Paldi) > 6.0 km; Price 290.0 outside [36.00, 84.00]"
