active_property_index,active_location,active_bhk,active_price_lakhs,active_area_sqft,expired_property_index,expired_location,expired_bhk,expired_price_lakhs,expired_area_sqft,days_since_expiry,similarity_score,final_score,price_difference_pct,urgency_level,suggested_message
2132,G-Vavol,4.0,140.0,1035.0,1615,G-Dahegam,4.0,114.99999999999999,2376.0,30.0,0.9148,0.9848,17.86,Medium,Hi! We're receiving active inquiries for a 4BHK property in G-Vavol at a slightly lower price (₹115.0L vs ₹140.0L). This is very similar to your 4BHK property in G-Dahegam. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
2132,G-Vavol,4.0,140.0,1035.0,1499,G-Sargasan,3.0,105.0,1755.0,48.0,0.8879,0.9399,25.0,Medium,Hi! We're receiving active inquiries for a 4BHK property in G-Vavol at a slightly lower price (₹105.0L vs ₹140.0L). This is very similar to your 3BHK property in G-Sargasan. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
2132,G-Vavol,4.0,140.0,1035.0,1063,G-Koba,3.0,115.99999999999999,2718.0,132.0,0.8715,0.8715,17.14,Low,Hi! We're receiving active inquiries for a 4BHK property in G-Vavol at a slightly lower price (₹116.0L vs ₹140.0L). This is very similar to your 3BHK property in G-Koba. Would you like to renew your package to capture these leads?
1623,A-Makarba,3.0,27.0,417.0,1483,A-Makarba,3.0,30.0,470.0,346.0,0.8874,0.9874,11.11,Low,Hi! We're receiving active inquiries for a 3BHK property in A-Makarba at a premium price (₹30.0L vs ₹27.0L). This is very similar to your 3BHK property in A-Makarba. Would you like to renew your package to capture these leads?
1623,A-Makarba,3.0,27.0,417.0,1640,A-Makarba,3.0,24.0,470.0,411.0,0.8456,0.9456,11.11,Low,Hi! We're receiving active inquiries for a 3BHK property in A-Makarba at a slightly lower price (₹24.0L vs ₹27.0L). This is very similar to your 3BHK property in A-Makarba. Would you like to renew your package to capture these leads?
2112,A-Adalaj,2.0,40.0,1089.0,931,A-Hathijan ,3.0,48.0,1494.0,24.0,0.8894,1.0654,20.0,High,"Hi! We're receiving active inquiries for a 2BHK property in A-Adalaj at a premium price (₹48.0L vs ₹40.0L). This is very similar to your 3BHK property in A-Hathijan . Your listing expired recently, so this is a perfect time to renew! Would you like to renew your package to capture these leads?"
2112,A-Adalaj,2.0,40.0,1089.0,2018,,2.0,37.0,1080.0,296.0,0.8754,0.9754,7.5,Low,Hi! We're receiving active inquiries for a 2BHK property in A-Adalaj at a very similar price point (₹37.0L). This is very similar to your 2BHK property in nan. Would you like to renew your package to capture these leads?
2112,A-Adalaj,2.0,40.0,1089.0,1425,A-Adalaj,3.0,45.0,1530.0,116.0,0.874,0.974,12.5,Low,Hi! We're receiving active inquiries for a 2BHK property in A-Adalaj at a premium price (₹45.0L vs ₹40.0L). This is very similar to your 3BHK property in A-Adalaj. Would you like to renew your package to capture these leads?
2112,A-Adalaj,2.0,40.0,1089.0,1428,A-Adalaj,3.0,45.0,1530.0,116.0,0.8711,0.9711,12.5,Low,Hi! We're receiving active inquiries for a 2BHK property in A-Adalaj at a premium price (₹45.0L vs ₹40.0L). This is very similar to your 3BHK property in A-Adalaj. Would you like to renew your package to capture these leads?
1160,P-Punewalu,3.0,96.0,1082.0,1605,A-Nikol,3.0,81.0,2025.0,11.0,0.7695,0.8585,15.62,High,"Hi! We're receiving active inquiries for a 3BHK property in P-Punewalu at a slightly lower price (₹81.0L vs ₹96.0L). This is very similar to your 3BHK property in A-Nikol. Your listing expired recently, so this is a perfect time to renew! Would you like to renew your package to capture these leads?"
